000 epoch |train loss: 0.01500767|test loss: 0.01344496|train accuracy:0.31666000 |test accuracy:0.38710000 |learning rate :0.10000000 
001 epoch |train loss: 0.01059670|test loss: 0.01113283|train accuracy:0.50254000 |test accuracy:0.50210000 |learning rate :0.10000000 
002 epoch |train loss: 0.00828289|test loss: 0.00850249|train accuracy:0.62216000 |test accuracy:0.62610000 |learning rate :0.10000000 
003 epoch |train loss: 0.00692441|test loss: 0.00833097|train accuracy:0.68682000 |test accuracy:0.65240000 |learning rate :0.10000000 
004 epoch |train loss: 0.00579075|test loss: 0.00629221|train accuracy:0.74224000 |test accuracy:0.72740000 |learning rate :0.10000000 
005 epoch |train loss: 0.00507873|test loss: 0.00537517|train accuracy:0.77474000 |test accuracy:0.76380000 |learning rate :0.10000000 
006 epoch |train loss: 0.00462266|test loss: 0.00592102|train accuracy:0.79554000 |test accuracy:0.75630000 |learning rate :0.10000000 
007 epoch |train loss: 0.00426863|test loss: 0.00539291|train accuracy:0.81162000 |test accuracy:0.77740000 |learning rate :0.10000000 
008 epoch |train loss: 0.00404482|test loss: 0.00539809|train accuracy:0.82486000 |test accuracy:0.77610000 |learning rate :0.10000000 
009 epoch |train loss: 0.00389789|test loss: 0.00536711|train accuracy:0.82858000 |test accuracy:0.77440000 |learning rate :0.10000000 
010 epoch |train loss: 0.00377523|test loss: 0.00528215|train accuracy:0.83290000 |test accuracy:0.78030000 |learning rate :0.10000000 
011 epoch |train loss: 0.00367217|test loss: 0.00453770|train accuracy:0.83916000 |test accuracy:0.80990000 |learning rate :0.10000000 
012 epoch |train loss: 0.00352070|test loss: 0.00508176|train accuracy:0.84694000 |test accuracy:0.78490000 |learning rate :0.10000000 
013 epoch |train loss: 0.00346197|test loss: 0.00646004|train accuracy:0.84870000 |test accuracy:0.74930000 |learning rate :0.10000000 
014 epoch |train loss: 0.00334514|test loss: 0.00444493|train accuracy:0.85198000 |test accuracy:0.81650000 |learning rate :0.10000000 
015 epoch |train loss: 0.00330487|test loss: 0.00427215|train accuracy:0.85594000 |test accuracy:0.81520000 |learning rate :0.10000000 
016 epoch |train loss: 0.00322318|test loss: 0.00406539|train accuracy:0.85968000 |test accuracy:0.82850000 |learning rate :0.10000000 
017 epoch |train loss: 0.00314657|test loss: 0.00463172|train accuracy:0.86214000 |test accuracy:0.80870000 |learning rate :0.10000000 
018 epoch |train loss: 0.00317157|test loss: 0.00454318|train accuracy:0.86218000 |test accuracy:0.80910000 |learning rate :0.10000000 
019 epoch |train loss: 0.00304814|test loss: 0.00614890|train accuracy:0.86554000 |test accuracy:0.74270000 |learning rate :0.10000000 
020 epoch |train loss: 0.00299162|test loss: 0.00427781|train accuracy:0.87062000 |test accuracy:0.82270000 |learning rate :0.10000000 
021 epoch |train loss: 0.00299025|test loss: 0.00448183|train accuracy:0.86916000 |test accuracy:0.81180000 |learning rate :0.10000000 
022 epoch |train loss: 0.00296330|test loss: 0.00492060|train accuracy:0.86972000 |test accuracy:0.79640000 |learning rate :0.10000000 
023 epoch |train loss: 0.00295039|test loss: 0.00375752|train accuracy:0.87092000 |test accuracy:0.83700000 |learning rate :0.10000000 
024 epoch |train loss: 0.00291254|test loss: 0.00406531|train accuracy:0.87226000 |test accuracy:0.82930000 |learning rate :0.10000000 
025 epoch |train loss: 0.00289695|test loss: 0.00420936|train accuracy:0.87388000 |test accuracy:0.82560000 |learning rate :0.10000000 
026 epoch |train loss: 0.00278935|test loss: 0.00500873|train accuracy:0.87878000 |test accuracy:0.81270000 |learning rate :0.10000000 
027 epoch |train loss: 0.00280356|test loss: 0.00386695|train accuracy:0.87674000 |test accuracy:0.83760000 |learning rate :0.10000000 
028 epoch |train loss: 0.00278447|test loss: 0.00493350|train accuracy:0.88062000 |test accuracy:0.79170000 |learning rate :0.10000000 
029 epoch |train loss: 0.00279705|test loss: 0.00365283|train accuracy:0.87834000 |test accuracy:0.85030000 |learning rate :0.02000000 
030 epoch |train loss: 0.00155178|test loss: 0.00204426|train accuracy:0.93358000 |test accuracy:0.91290000 |learning rate :0.02000000 
031 epoch |train loss: 0.00114628|test loss: 0.00208391|train accuracy:0.95082000 |test accuracy:0.91380000 |learning rate :0.02000000 
032 epoch |train loss: 0.00103060|test loss: 0.00236651|train accuracy:0.95496000 |test accuracy:0.90870000 |learning rate :0.02000000 
033 epoch |train loss: 0.00095414|test loss: 0.00216094|train accuracy:0.95832000 |test accuracy:0.91130000 |learning rate :0.02000000 
034 epoch |train loss: 0.00089235|test loss: 0.00216417|train accuracy:0.96104000 |test accuracy:0.91290000 |learning rate :0.02000000 
035 epoch |train loss: 0.00084478|test loss: 0.00207354|train accuracy:0.96220000 |test accuracy:0.91760000 |learning rate :0.02000000 
036 epoch |train loss: 0.00082551|test loss: 0.00222774|train accuracy:0.96400000 |test accuracy:0.91170000 |learning rate :0.02000000 
037 epoch |train loss: 0.00081070|test loss: 0.00245720|train accuracy:0.96392000 |test accuracy:0.90500000 |learning rate :0.02000000 
038 epoch |train loss: 0.00081318|test loss: 0.00245027|train accuracy:0.96402000 |test accuracy:0.90360000 |learning rate :0.02000000 
039 epoch |train loss: 0.00081189|test loss: 0.00237480|train accuracy:0.96462000 |test accuracy:0.90780000 |learning rate :0.02000000 
040 epoch |train loss: 0.00083005|test loss: 0.00244271|train accuracy:0.96334000 |test accuracy:0.90570000 |learning rate :0.02000000 
041 epoch |train loss: 0.00080248|test loss: 0.00239667|train accuracy:0.96532000 |test accuracy:0.90470000 |learning rate :0.02000000 
042 epoch |train loss: 0.00084592|test loss: 0.00264360|train accuracy:0.96338000 |test accuracy:0.89840000 |learning rate :0.02000000 
043 epoch |train loss: 0.00080967|test loss: 0.00256036|train accuracy:0.96402000 |test accuracy:0.90200000 |learning rate :0.02000000 
044 epoch |train loss: 0.00083661|test loss: 0.00228446|train accuracy:0.96242000 |test accuracy:0.91280000 |learning rate :0.02000000 
045 epoch |train loss: 0.00084559|test loss: 0.00282956|train accuracy:0.96282000 |test accuracy:0.89240000 |learning rate :0.02000000 
046 epoch |train loss: 0.00083051|test loss: 0.00274421|train accuracy:0.96308000 |test accuracy:0.90070000 |learning rate :0.02000000 
047 epoch |train loss: 0.00085248|test loss: 0.00273728|train accuracy:0.96186000 |test accuracy:0.89200000 |learning rate :0.02000000 
048 epoch |train loss: 0.00084880|test loss: 0.00278945|train accuracy:0.96308000 |test accuracy:0.89160000 |learning rate :0.02000000 
049 epoch |train loss: 0.00086861|test loss: 0.00231927|train accuracy:0.96240000 |test accuracy:0.91110000 |learning rate :0.02000000 
