000 epoch |train loss: 0.03264082|test loss: 0.02615383|train accuracy:0.25288000 |test accuracy:0.38820000 |learning rate :0.10000000 
001 epoch |train loss: 0.02711159|test loss: 0.02195787|train accuracy:0.37506000 |test accuracy:0.49150000 |learning rate :0.10000000 
002 epoch |train loss: 0.02428658|test loss: 0.01972785|train accuracy:0.45924000 |test accuracy:0.54440000 |learning rate :0.10000000 
003 epoch |train loss: 0.02198261|test loss: 0.01812732|train accuracy:0.52834000 |test accuracy:0.59790000 |learning rate :0.10000000 
004 epoch |train loss: 0.02025575|test loss: 0.01593655|train accuracy:0.57916000 |test accuracy:0.65320000 |learning rate :0.10000000 
005 epoch |train loss: 0.01859106|test loss: 0.01524108|train accuracy:0.61794000 |test accuracy:0.66520000 |learning rate :0.10000000 
006 epoch |train loss: 0.01794911|test loss: 0.01459792|train accuracy:0.63364000 |test accuracy:0.67700000 |learning rate :0.10000000 
007 epoch |train loss: 0.01787682|test loss: 0.01415536|train accuracy:0.63810000 |test accuracy:0.69330000 |learning rate :0.10000000 
008 epoch |train loss: 0.01705552|test loss: 0.01255864|train accuracy:0.65618000 |test accuracy:0.74200000 |learning rate :0.10000000 
009 epoch |train loss: 0.01682994|test loss: 0.01104539|train accuracy:0.65754000 |test accuracy:0.76930000 |learning rate :0.10000000 
010 epoch |train loss: 0.01655098|test loss: 0.01424086|train accuracy:0.66994000 |test accuracy:0.69100000 |learning rate :0.10000000 
011 epoch |train loss: 0.01651641|test loss: 0.01190809|train accuracy:0.66600000 |test accuracy:0.75640000 |learning rate :0.10000000 
012 epoch |train loss: 0.01632452|test loss: 0.01483373|train accuracy:0.67606000 |test accuracy:0.68890000 |learning rate :0.10000000 
013 epoch |train loss: 0.01652580|test loss: 0.01392411|train accuracy:0.66830000 |test accuracy:0.70050000 |learning rate :0.10000000 
014 epoch |train loss: 0.01609403|test loss: 0.01132609|train accuracy:0.67902000 |test accuracy:0.75580000 |learning rate :0.10000000 
015 epoch |train loss: 0.01543241|test loss: 0.01218248|train accuracy:0.68768000 |test accuracy:0.74110000 |learning rate :0.10000000 
016 epoch |train loss: 0.01583925|test loss: 0.01192079|train accuracy:0.68590000 |test accuracy:0.74480000 |learning rate :0.10000000 
017 epoch |train loss: 0.01591573|test loss: 0.01076916|train accuracy:0.68124000 |test accuracy:0.76700000 |learning rate :0.10000000 
018 epoch |train loss: 0.01542660|test loss: 0.01150433|train accuracy:0.69482000 |test accuracy:0.76090000 |learning rate :0.10000000 
019 epoch |train loss: 0.01554026|test loss: 0.01152842|train accuracy:0.68656000 |test accuracy:0.75330000 |learning rate :0.10000000 
020 epoch |train loss: 0.01569905|test loss: 0.01093624|train accuracy:0.69446000 |test accuracy:0.75740000 |learning rate :0.10000000 
021 epoch |train loss: 0.01573537|test loss: 0.01286097|train accuracy:0.68902000 |test accuracy:0.73030000 |learning rate :0.10000000 
022 epoch |train loss: 0.01612623|test loss: 0.00961950|train accuracy:0.67682000 |test accuracy:0.79440000 |learning rate :0.10000000 
023 epoch |train loss: 0.01546961|test loss: 0.00982753|train accuracy:0.69588000 |test accuracy:0.80210000 |learning rate :0.10000000 
024 epoch |train loss: 0.01526134|test loss: 0.01419132|train accuracy:0.70446000 |test accuracy:0.70590000 |learning rate :0.10000000 
025 epoch |train loss: 0.01588112|test loss: 0.01061025|train accuracy:0.68328000 |test accuracy:0.78870000 |learning rate :0.10000000 
026 epoch |train loss: 0.01524117|test loss: 0.00996514|train accuracy:0.69882000 |test accuracy:0.78760000 |learning rate :0.10000000 
027 epoch |train loss: 0.01464147|test loss: 0.00939149|train accuracy:0.70772000 |test accuracy:0.80770000 |learning rate :0.10000000 
028 epoch |train loss: 0.01516936|test loss: 0.01060043|train accuracy:0.70130000 |test accuracy:0.77430000 |learning rate :0.10000000 
