000 epoch |train loss: 0.03191222|test loss: 0.03107389|train accuracy:0.26604000 |test accuracy:0.34680000 |learning rate :0.10000000 
001 epoch |train loss: 0.02541029|test loss: 0.02885332|train accuracy:0.39352000 |test accuracy:0.37210000 |learning rate :0.10000000 
002 epoch |train loss: 0.02212656|test loss: 0.02696486|train accuracy:0.48526000 |test accuracy:0.46200000 |learning rate :0.10000000 
003 epoch |train loss: 0.01892870|test loss: 0.02063443|train accuracy:0.56462000 |test accuracy:0.55970000 |learning rate :0.10000000 
004 epoch |train loss: 0.01748506|test loss: 0.01750126|train accuracy:0.60420000 |test accuracy:0.62280000 |learning rate :0.10000000 
005 epoch |train loss: 0.01603424|test loss: 0.01378330|train accuracy:0.63682000 |test accuracy:0.69490000 |learning rate :0.10000000 
006 epoch |train loss: 0.01494673|test loss: 0.01805927|train accuracy:0.66618000 |test accuracy:0.63430000 |learning rate :0.10000000 
007 epoch |train loss: 0.01416700|test loss: 0.01566228|train accuracy:0.68540000 |test accuracy:0.67550000 |learning rate :0.10000000 
008 epoch |train loss: 0.01358352|test loss: 0.01507082|train accuracy:0.69908000 |test accuracy:0.68940000 |learning rate :0.10000000 
009 epoch |train loss: 0.01309939|test loss: 0.01187578|train accuracy:0.70868000 |test accuracy:0.74930000 |learning rate :0.10000000 
010 epoch |train loss: 0.01282399|test loss: 0.01162969|train accuracy:0.71448000 |test accuracy:0.74670000 |learning rate :0.10000000 
011 epoch |train loss: 0.01236897|test loss: 0.01343653|train accuracy:0.72830000 |test accuracy:0.72530000 |learning rate :0.10000000 
012 epoch |train loss: 0.01217738|test loss: 0.01054445|train accuracy:0.73046000 |test accuracy:0.77530000 |learning rate :0.10000000 
013 epoch |train loss: 0.01206139|test loss: 0.01222651|train accuracy:0.73440000 |test accuracy:0.74000000 |learning rate :0.10000000 
014 epoch |train loss: 0.01182984|test loss: 0.01450718|train accuracy:0.73842000 |test accuracy:0.70880000 |learning rate :0.10000000 
015 epoch |train loss: 0.01172491|test loss: 0.01163310|train accuracy:0.73954000 |test accuracy:0.75530000 |learning rate :0.10000000 
016 epoch |train loss: 0.01175699|test loss: 0.01336034|train accuracy:0.74000000 |test accuracy:0.72550000 |learning rate :0.10000000 
017 epoch |train loss: 0.01148456|test loss: 0.01375645|train accuracy:0.74444000 |test accuracy:0.72280000 |learning rate :0.10000000 
018 epoch |train loss: 0.01138440|test loss: 0.01278152|train accuracy:0.74988000 |test accuracy:0.73880000 |learning rate :0.10000000 
019 epoch |train loss: 0.01135452|test loss: 0.00996724|train accuracy:0.75010000 |test accuracy:0.79220000 |learning rate :0.10000000 
020 epoch |train loss: 0.01115634|test loss: 0.01037402|train accuracy:0.75328000 |test accuracy:0.77690000 |learning rate :0.10000000 
021 epoch |train loss: 0.01111642|test loss: 0.01153756|train accuracy:0.75482000 |test accuracy:0.76220000 |learning rate :0.10000000 
022 epoch |train loss: 0.01111684|test loss: 0.01349201|train accuracy:0.75544000 |test accuracy:0.72950000 |learning rate :0.10000000 
023 epoch |train loss: 0.01110204|test loss: 0.01088470|train accuracy:0.75462000 |test accuracy:0.77160000 |learning rate :0.10000000 
024 epoch |train loss: 0.01109376|test loss: 0.01066987|train accuracy:0.75658000 |test accuracy:0.76980000 |learning rate :0.10000000 
025 epoch |train loss: 0.01087379|test loss: 0.01153291|train accuracy:0.76110000 |test accuracy:0.74930000 |learning rate :0.10000000 
026 epoch |train loss: 0.01102508|test loss: 0.01361583|train accuracy:0.75736000 |test accuracy:0.73100000 |learning rate :0.10000000 
027 epoch |train loss: 0.01085153|test loss: 0.01317003|train accuracy:0.76072000 |test accuracy:0.73210000 |learning rate :0.10000000 
028 epoch |train loss: 0.01085606|test loss: 0.01990395|train accuracy:0.75924000 |test accuracy:0.63140000 |learning rate :0.10000000 
029 epoch |train loss: 0.01090663|test loss: 0.01063941|train accuracy:0.76022000 |test accuracy:0.77600000 |learning rate :0.02000000 
030 epoch |train loss: 0.00740611|test loss: 0.00579545|train accuracy:0.83460000 |test accuracy:0.87580000 |learning rate :0.02000000 
031 epoch |train loss: 0.00646376|test loss: 0.00546746|train accuracy:0.85712000 |test accuracy:0.88420000 |learning rate :0.02000000 
032 epoch |train loss: 0.00635812|test loss: 0.00525904|train accuracy:0.85856000 |test accuracy:0.88570000 |learning rate :0.02000000 
033 epoch |train loss: 0.00618876|test loss: 0.00573585|train accuracy:0.86378000 |test accuracy:0.87860000 |learning rate :0.02000000 
034 epoch |train loss: 0.00619247|test loss: 0.00531986|train accuracy:0.86328000 |test accuracy:0.88690000 |learning rate :0.02000000 
035 epoch |train loss: 0.00626223|test loss: 0.00533584|train accuracy:0.85998000 |test accuracy:0.88850000 |learning rate :0.02000000 
036 epoch |train loss: 0.00601424|test loss: 0.00564885|train accuracy:0.86608000 |test accuracy:0.87750000 |learning rate :0.02000000 
037 epoch |train loss: 0.00605971|test loss: 0.00662665|train accuracy:0.86552000 |test accuracy:0.86110000 |learning rate :0.02000000 
038 epoch |train loss: 0.00621036|test loss: 0.00576290|train accuracy:0.86320000 |test accuracy:0.87580000 |learning rate :0.02000000 
039 epoch |train loss: 0.00608617|test loss: 0.00562051|train accuracy:0.86504000 |test accuracy:0.87660000 |learning rate :0.02000000 
040 epoch |train loss: 0.00611593|test loss: 0.00671439|train accuracy:0.86476000 |test accuracy:0.85640000 |learning rate :0.02000000 
041 epoch |train loss: 0.00600245|test loss: 0.00585485|train accuracy:0.86682000 |test accuracy:0.87120000 |learning rate :0.02000000 
042 epoch |train loss: 0.00604440|test loss: 0.00655924|train accuracy:0.86654000 |test accuracy:0.85800000 |learning rate :0.02000000 
043 epoch |train loss: 0.00605308|test loss: 0.00552220|train accuracy:0.86652000 |test accuracy:0.88220000 |learning rate :0.02000000 
044 epoch |train loss: 0.00609235|test loss: 0.00677740|train accuracy:0.86580000 |test accuracy:0.85490000 |learning rate :0.02000000 
045 epoch |train loss: 0.00592393|test loss: 0.00498219|train accuracy:0.86890000 |test accuracy:0.89660000 |learning rate :0.02000000 
046 epoch |train loss: 0.00593504|test loss: 0.00570146|train accuracy:0.86774000 |test accuracy:0.87880000 |learning rate :0.02000000 
047 epoch |train loss: 0.00592310|test loss: 0.00534803|train accuracy:0.86932000 |test accuracy:0.88530000 |learning rate :0.02000000 
048 epoch |train loss: 0.00581258|test loss: 0.00565152|train accuracy:0.87256000 |test accuracy:0.88100000 |learning rate :0.02000000 
049 epoch |train loss: 0.00584207|test loss: 0.00477995|train accuracy:0.87142000 |test accuracy:0.89770000 |learning rate :0.02000000 
