000 epoch |train loss: 0.01642592|test loss: 0.01364089|train accuracy:0.20496000 |test accuracy:0.36840000 |learning rate :0.10000000 
001 epoch |train loss: 0.01441062|test loss: 0.01268786|train accuracy:0.27662000 |test accuracy:0.41950000 |learning rate :0.10000000 
002 epoch |train loss: 0.01338467|test loss: 0.01077303|train accuracy:0.30750000 |test accuracy:0.52470000 |learning rate :0.10000000 
003 epoch |train loss: 0.01260976|test loss: 0.00935373|train accuracy:0.36622000 |test accuracy:0.59380000 |learning rate :0.10000000 
004 epoch |train loss: 0.01207224|test loss: 0.00924244|train accuracy:0.38266000 |test accuracy:0.60780000 |learning rate :0.10000000 
005 epoch |train loss: 0.01124597|test loss: 0.00754553|train accuracy:0.41978000 |test accuracy:0.68270000 |learning rate :0.10000000 
006 epoch |train loss: 0.01112811|test loss: 0.00733734|train accuracy:0.41284000 |test accuracy:0.70520000 |learning rate :0.10000000 
007 epoch |train loss: 0.01060268|test loss: 0.00690566|train accuracy:0.43558000 |test accuracy:0.74760000 |learning rate :0.10000000 
008 epoch |train loss: 0.01025633|test loss: 0.00612263|train accuracy:0.39614000 |test accuracy:0.76410000 |learning rate :0.10000000 
009 epoch |train loss: 0.01035873|test loss: 0.00642851|train accuracy:0.45928000 |test accuracy:0.73880000 |learning rate :0.10000000 
010 epoch |train loss: 0.01011982|test loss: 0.00665875|train accuracy:0.43052000 |test accuracy:0.75210000 |learning rate :0.10000000 
011 epoch |train loss: 0.01009547|test loss: 0.00687784|train accuracy:0.43558000 |test accuracy:0.71950000 |learning rate :0.10000000 
012 epoch |train loss: 0.00996991|test loss: 0.00845399|train accuracy:0.46660000 |test accuracy:0.66070000 |learning rate :0.10000000 
013 epoch |train loss: 0.01005878|test loss: 0.00692649|train accuracy:0.45332000 |test accuracy:0.74770000 |learning rate :0.10000000 
014 epoch |train loss: 0.00962860|test loss: 0.00584067|train accuracy:0.48470000 |test accuracy:0.78220000 |learning rate :0.10000000 
015 epoch |train loss: 0.00963993|test loss: 0.00634938|train accuracy:0.47656000 |test accuracy:0.76320000 |learning rate :0.10000000 
016 epoch |train loss: 0.00967601|test loss: 0.00685172|train accuracy:0.46418000 |test accuracy:0.72690000 |learning rate :0.10000000 
017 epoch |train loss: 0.00953731|test loss: 0.00620360|train accuracy:0.46878000 |test accuracy:0.76150000 |learning rate :0.10000000 
018 epoch |train loss: 0.00933773|test loss: 0.00552536|train accuracy:0.45658000 |test accuracy:0.79480000 |learning rate :0.10000000 
019 epoch |train loss: 0.00955629|test loss: 0.00553068|train accuracy:0.45180000 |test accuracy:0.80990000 |learning rate :0.10000000 
020 epoch |train loss: 0.00970469|test loss: 0.00640713|train accuracy:0.47134000 |test accuracy:0.75720000 |learning rate :0.10000000 
021 epoch |train loss: 0.00961820|test loss: 0.00656456|train accuracy:0.47252000 |test accuracy:0.76540000 |learning rate :0.10000000 
022 epoch |train loss: 0.00944390|test loss: 0.00635183|train accuracy:0.48714000 |test accuracy:0.77470000 |learning rate :0.10000000 
023 epoch |train loss: 0.00950854|test loss: 0.00640667|train accuracy:0.48732000 |test accuracy:0.76010000 |learning rate :0.10000000 
